,Total edges,Average degree weight=count,Average degree weight=duration(seconds),Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
CsCh-2024-07-09--18-07-19,66.0,812.8333333333334,16514.333333333332,1.0,0.38020428123197764,0.3833223085193635,0.0,0.10000000000000002,0.13636363636363635,1.0,0.02094279384537813,0.0013140620035157029,0.0,0.0,0.0
CsCh-2024-07-09--18-07-26,66.0,808.3333333333334,16835.666666666668,1.0,0.4514976884839152,0.4574806814951759,0.0,0.04015151515151515,0.059848484848484845,1.0,0.016041939301501593,0.0008097316944441528,0.0,0.0,0.0
CsCh-2024-07-09--18-07-32,65.0,783.0,15942.333333333334,0.984848484848485,0.3492770917833596,0.3286060537274889,0.0015151515151515154,0.05303030303030303,0.06212121212121211,0.986111111111111,0.017193108109804543,0.0009192231981634114,0.0,0.0,0.0
CsCh-2024-07-09--18-07-38,66.0,881.1666666666666,17923.333333333332,1.0,0.44157881216592215,0.4686878373696804,0.0,0.05606060606060606,0.048484848484848485,1.0,0.015793574538652596,0.0007876237515854707,0.0,0.0,0.0
CsCh-2024-07-09--18-07-45,66.0,781.8333333333334,16219.166666666666,1.0,0.42762032694568464,0.34591310183233387,0.0,0.05909090909090909,0.07272727272727272,1.0,0.019970235960314376,0.0011526881212955101,0.0,0.0,0.0
CsCh-2024-07-09--18-07-51,66.0,793.0,16398.0,1.0,0.3465611281419639,0.316202950053939,0.0,0.04696969696969697,0.048484848484848485,1.0,0.01832921562599429,0.0008629846019716081,0.0,0.0,0.0
CsCh-2024-07-09--18-07-58,66.0,813.5,17176.0,1.0,0.4051418078150615,0.43607938880622316,0.0,0.06363636363636364,0.08181818181818183,1.0,0.019003307971628827,0.0009486273138330235,0.0,0.0,0.0
CsCh-2024-07-09--18-08-04,66.0,806.0,15802.0,1.0,0.4025243988788787,0.37319205835020863,0.0,0.041666666666666664,0.051515151515151514,1.0,0.016884116602962566,0.0008780824511294095,0.0,0.0,0.0
CsCh-2024-07-09--18-08-10,66.0,828.5,16286.0,1.0,0.4176684547617002,0.38630377235194735,0.0,0.03333333333333333,0.03939393939393939,1.0,0.014976262724031415,0.0008241584577884251,0.0,0.0,0.0
CsCh-2024-07-09--18-08-16,66.0,833.0,17206.333333333332,1.0,0.3541126474447589,0.2919228869429293,0.0,0.03181818181818182,0.04696969696969697,1.0,0.015382559848213469,0.0008186353541510369,0.0,0.0,0.0
