,Total nodes,Total edges,Mean degree weight=count,Mean degree weight=duration(seconds),Degree heterogeneity,Degree heterogeneity (count),Degree heterogeneity (total duration (seconds)),Degree aassortativity,Degree aassortativity (count),Degree aassortativity (total duration (seconds)),Reciprocity,Network density,Global efficiency,Transitivity,Number of connected components,Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
6958,12.0,132.0,1311.3333333333333,632.3125,0.0,0.09399756605121441,0.0868389510373279,,-0.07266485898816984,-0.055487520091378854,1.0,1.0,1.0,1.0,1.0,1.0,0.5587544096379413,0.44579143259041315,0.0,0.001893939393939394,0.006818181818181818,1.0,0.01694554332990496,0.035536051937893075,0.0,0.0,2.220446049250313e-16
9799,12.0,132.0,1408.6666666666667,760.9027777777778,0.0,0.10855546176995404,0.10073212589026663,,-0.07959075431412252,-0.05657590146992751,1.0,1.0,1.0,1.0,1.0,1.0,0.5982077421822912,0.4649830763234714,0.0,0.003787878787878788,0.0053030303030303025,1.0,0.015900894896141812,0.02976579780497786,0.0,0.0,-2.220446049250313e-16
4949,12.0,132.0,1351.5,695.4375,0.0,0.10950357951886529,0.08318159713303246,,-0.07625957430898202,-0.03966127488024245,1.0,1.0,1.0,1.0,1.0,1.0,0.5985279082990603,0.5425869414688905,0.0,0.001893939393939394,0.0053030303030303025,1.0,0.016451422337143466,0.03203215528013521,0.0,0.0,-2.220446049250313e-16
4850,12.0,132.0,1285.0,685.576388888889,0.0,0.08908891499049028,0.09240249628663359,,-0.06770984700926427,-0.057117885000570016,1.0,1.0,1.0,1.0,1.0,1.0,0.632991211320373,0.5289443948883764,0.0,0.0007575757575757576,0.006818181818181818,1.0,0.0172662016346953,0.03284839153852973,0.0,0.0,0.0
5831,12.0,132.0,1221.3333333333333,641.7569444444445,0.0,0.12444846238830168,0.07968955030817901,,-0.08084352538952463,-0.05500240992508876,1.0,1.0,1.0,1.0,1.0,1.0,0.5344797952520263,0.6060295525193148,0.0,0.006060606060606061,0.007575757575757576,1.0,0.018415711022314058,0.03476612878061639,0.0,0.0,2.220446049250313e-16
5997,12.0,132.0,1380.0,699.8888888888888,0.0,0.0993788909736596,0.09633167025446497,,-0.08545634499783396,-0.07209435839065656,1.0,1.0,1.0,1.0,1.0,1.0,0.650835400597024,0.5352919229704455,0.0,0.003787878787878788,0.004545454545454545,1.0,0.01615347550830597,0.032055693519752924,0.0,0.0,0.0
9333,12.0,132.0,1386.8333333333333,690.0902777777778,0.0,0.17090327408527783,0.1296359726878816,,-0.08380028477304392,-0.06752939257948001,1.0,1.0,1.0,1.0,1.0,1.0,0.5084711149319342,0.5537129814551114,0.0,0.017424242424242422,0.009848484848484848,1.0,0.016919871613394224,0.03308474938166484,0.0,0.0,0.0
8549,12.0,132.0,1251.3333333333333,672.5138888888889,0.0,0.09241093535457034,0.08253493761424809,,-0.07361666816872654,-0.06343912065951451,1.0,1.0,1.0,1.0,1.0,1.0,0.6305205450483736,0.6310082664302727,0.0,0.0015151515151515152,0.0053030303030303025,1.0,0.01772607087484343,0.03311005906986766,0.0,0.0,6.661338147750939e-16
1149,12.0,132.0,1278.0,697.7361111111112,0.0,0.10967417440768026,0.10264673909361646,,-0.08515102575115358,-0.06275001177005463,1.0,1.0,1.0,1.0,1.0,1.0,0.5459795058800732,0.5672813350844285,0.0,0.0022727272727272726,0.014393939393939395,1.0,0.01746951402475437,0.03269392204438446,0.0,0.0,0.0
7187,12.0,132.0,1195.1666666666667,667.7430555555555,0.0,0.10231576412321344,0.09226096228031871,,-0.0769939303255725,-0.07644392037683974,1.0,1.0,1.0,1.0,1.0,1.0,0.581103979320728,0.6156519125287516,0.0,0.0,0.006060606060606061,1.0,0.018586521330496545,0.03339831447369782,0.0,0.0,4.440892098500626e-16
656,12.0,132.0,1362.5,689.1319444444443,0.0,0.10475484169913764,0.060799518609922026,,-0.06868394361215205,-0.01375316265182995,1.0,1.0,1.0,1.0,1.0,1.0,0.6161664006629166,0.640211215102756,0.0,0.0015151515151515152,0.0015151515151515152,1.0,0.016306642339664824,0.032106117520154916,0.0,0.0,6.661338147750939e-16
7145,12.0,132.0,1317.0,718.3194444444445,0.0,0.08607723721808319,0.07808925503867188,,-0.07070023883794947,-0.058763149159668154,1.0,1.0,1.0,1.0,1.0,1.0,0.6411852122710953,0.523828136655324,0.0,0.002272727272727273,0.004545454545454545,1.0,0.01678070916564492,0.03104317022513639,0.0,0.0,2.220446049250313e-16
9273,12.0,132.0,1182.0,633.6388888888889,0.0,0.08318109610892022,0.10935119901929095,,-0.06951771048415763,-0.061391112553360584,1.0,1.0,1.0,1.0,1.0,1.0,0.6384596972169064,0.5481570039206084,0.0,0.0007575757575757576,0.009090909090909092,1.0,0.018741852349414022,0.03565762663522668,0.0,0.0,0.0
2968,12.0,132.0,1377.5,668.0138888888888,0.0,0.09220243771964093,0.07294767464747343,,-0.08380965836865292,-0.04623454796821868,1.0,1.0,1.0,1.0,1.0,1.0,0.5600268580243212,0.5757293442051546,0.0,0.0015151515151515152,0.010606060606060605,1.0,0.01606323430932934,0.03352700104856495,0.0,0.0,0.0
3516,12.0,132.0,1474.8333333333333,740.2847222222222,0.0,0.11975593243335017,0.08851976441653586,,-0.07915427367118652,-0.06994513189369393,1.0,1.0,1.0,1.0,1.0,1.0,0.6023832150400097,0.604178678022357,0.0,0.014393939393939395,0.010606060606060605,1.0,0.01550201899353963,0.03031038811683312,0.0,0.0,0.0
2641,12.0,132.0,1417.6666666666667,703.986111111111,0.0,0.07005674542882473,0.04585448157834281,,-0.05608707276009048,0.007580641731910951,1.0,1.0,1.0,1.0,1.0,1.0,0.6614808888036973,0.5930512295489159,0.0,0.0022727272727272726,0.004545454545454546,1.0,0.015639790628488165,0.03151433303253799,0.0,0.0,0.0
8915,12.0,132.0,1328.3333333333333,683.6805555555555,0.0,0.12181138676255404,0.10785036591500241,,-0.08255024751273639,-0.08269784659169413,1.0,1.0,1.0,1.0,1.0,1.0,0.6001147053327656,0.5931349530893156,0.0,0.0022727272727272726,0.004545454545454545,1.0,0.016809566057005874,0.032675124310905565,0.0,0.0,-2.220446049250313e-16
8711,12.0,132.0,1377.5,637.1458333333334,0.0,0.16686956182230123,0.18615519078711182,,-0.07786461455487609,-0.07918325074010171,1.0,1.0,1.0,1.0,1.0,1.0,0.5587603947941852,0.38385397378714226,0.0,0.026515151515151516,0.038636363636363635,1.0,0.01706702290672062,0.03969550690022971,0.0,0.0,-2.220446049250313e-16
2399,12.0,132.0,1490.1666666666667,726.1041666666666,0.0,0.10259111247756886,0.0758873142983015,,-0.07435557184718178,-0.07348240853104233,1.0,1.0,1.0,1.0,1.0,1.0,0.6286008032296844,0.6202888592642605,0.0,0.0022727272727272726,0.003787878787878788,1.0,0.014913336825739148,0.03052381602019059,0.0,0.0,0.0
8133,12.0,132.0,1218.0,625.0833333333334,0.0,0.10003008149592169,0.07354305758669105,,-0.07730640051203463,-0.048228498428219024,1.0,1.0,1.0,1.0,1.0,1.0,0.6068992979545299,0.5195668014807492,0.0,0.0026515151515151512,0.009848484848484848,1.0,0.018324871774113658,0.03599996927414951,0.0,0.0,4.440892098500626e-16
4239,12.0,132.0,1289.1666666666667,689.0,0.0,0.12128853645944579,0.08934196172500154,,-0.08599250151533828,-0.0354099003092189,1.0,1.0,1.0,1.0,1.0,1.0,0.5435629250000719,0.5239159605777651,0.0,0.004545454545454546,0.003787878787878788,1.0,0.017249605097072022,0.03221797666322425,0.0,0.0,-3.3306690738754696e-16
2697,12.0,132.0,1266.0,678.9930555555555,0.0,0.10625651997214244,0.07628587936943083,,-0.08344769021087868,-0.06904016031097163,1.0,1.0,1.0,1.0,1.0,1.0,0.5961100532229913,0.5990102275677437,0.0,0.003787878787878788,0.003787878787878788,1.0,0.017642995133068586,0.03282535049631494,0.0,0.0,2.220446049250313e-16
4965,12.0,132.0,1360.8333333333333,684.9930555555555,0.0,0.09681681928759507,0.07569739021438059,,-0.0726329370038887,-0.0352625668859262,1.0,1.0,1.0,1.0,1.0,1.0,0.668022253271432,0.5713002794894816,0.0,0.0030303030303030303,0.006060606060606061,1.0,0.016441843559898108,0.032883397379928424,0.0,0.0,-5.551115123125783e-16
3680,12.0,132.0,1527.5,756.1597222222222,0.0,0.08971710409309988,0.0877612802809979,,-0.074533380493143,-0.06993023962214001,1.0,1.0,1.0,1.0,1.0,1.0,0.606267786545183,0.5755051308054604,0.0,0.0,0.0030303030303030303,1.0,0.014489282959553604,0.02940634170929678,0.0,0.0,8.881784197001252e-16
1535,12.0,132.0,1274.1666666666667,685.451388888889,0.0,0.1235721320979464,0.13226425759328017,,-0.07904855144092068,-0.07807206866328308,1.0,1.0,1.0,1.0,1.0,1.0,0.605485499826663,0.5187728792958541,0.0,0.00946969696969697,0.016666666666666666,1.0,0.017669897057829113,0.03369243084325215,0.0,0.0,-3.3306690738754696e-16
2002,12.0,132.0,1492.0,746.6111111111112,0.0,0.07717773364925178,0.10629334750023901,,-0.06816987365657443,-0.08008902409140461,1.0,1.0,1.0,1.0,1.0,1.0,0.6932387875040379,0.6235243556655273,0.0,0.0,0.0007575757575757576,1.0,0.01482488570647703,0.02990400263435157,0.0,0.0,6.661338147750939e-16
4932,12.0,132.0,1304.5,686.1666666666666,0.0,0.12139886656216947,0.10834472502798081,,-0.08646508802721926,-0.0842520161597236,1.0,1.0,1.0,1.0,1.0,1.0,0.5769643872714229,0.5365385062161602,0.0,0.004166666666666667,0.012878787878787878,1.0,0.01709206505707014,0.033380822306482684,0.0,0.0,0.0
3800,12.0,132.0,1157.8333333333333,604.2291666666666,0.0,0.153597009471737,0.12078747895432455,,-0.08756266443086459,-0.06368063420764512,1.0,1.0,1.0,1.0,1.0,1.0,0.5256621734914931,0.5245964987024305,0.0,0.007196969696969697,0.01856060606060606,1.0,0.019579567346793253,0.03766458169412045,0.0,0.0,-3.3306690738754696e-16
9703,12.0,132.0,1205.6666666666667,627.4375,0.0,0.1447608620948564,0.1316253271664503,,-0.07380768097870863,-0.0574831543296549,1.0,1.0,1.0,1.0,1.0,1.0,0.464971194341904,0.4668680111716186,0.0,0.012878787878787878,0.02121212121212121,1.0,0.01931232047334548,0.03730868730795213,0.0,0.0,2.220446049250313e-16
1321,12.0,132.0,1462.5,732.9305555555557,0.0,0.0944012870157789,0.07053836294655813,,-0.0563236856614777,-0.03798151460000387,1.0,1.0,1.0,1.0,1.0,1.0,0.619215883711795,0.6529136464574675,0.0,0.0015151515151515152,0.0,1.0,0.015130482664153724,0.030192403088619733,0.0,0.0,2.220446049250313e-16
8841,12.0,132.0,1315.1666666666667,658.5208333333334,0.0,0.12743831349363793,0.0958672539450595,,-0.07487812044476716,-0.04258181380928011,1.0,1.0,1.0,1.0,1.0,1.0,0.5203712074727836,0.5412513598338515,0.0,0.0015151515151515152,0.008333333333333333,1.0,0.0169136729117021,0.03393355773563655,0.0,0.0,2.220446049250313e-16
3731,12.0,132.0,1264.5,675.2361111111111,0.0,0.14101919246790542,0.10567765953073421,,-0.08677708610187035,-0.06848293979851817,1.0,1.0,1.0,1.0,1.0,1.0,0.5938452018647221,0.5452286628061113,0.0,0.004545454545454545,0.008333333333333333,1.0,0.017678470748724737,0.033500201999317344,0.0,0.0,2.220446049250313e-16
1652,12.0,132.0,1350.1666666666667,686.0069444444443,0.0,0.12735393626094257,0.10344003427867146,,-0.08244489909085727,-0.06307413540837431,1.0,1.0,1.0,1.0,1.0,1.0,0.5168355844610001,0.5444465765869768,0.0,0.0007575757575757576,0.006818181818181818,1.0,0.016516278874392915,0.03252567307960102,0.0,0.0,-3.3306690738754696e-16
1317,12.0,132.0,1319.1666666666667,689.6597222222222,0.0,0.14565030817918115,0.10628382085813014,,-0.08264740640060607,-0.056960422722109834,1.0,1.0,1.0,1.0,1.0,1.0,0.6127758570524661,0.5738555461680009,0.0,0.008333333333333333,0.013636363636363636,1.0,0.01706967417246288,0.03288213878245649,0.0,0.0,-3.3306690738754696e-16
5179,12.0,132.0,1237.6666666666667,658.4097222222221,0.0,0.10039158100934328,0.07657225075000146,,-0.07625426900615788,-0.06775923475064861,1.0,1.0,1.0,1.0,1.0,1.0,0.6015866139226056,0.6080099108934852,0.0,0.0022727272727272726,0.004545454545454546,1.0,0.017969213945026676,0.03381446893954038,0.0,0.0,6.661338147750939e-16
579,12.0,132.0,1249.3333333333333,624.0277777777777,0.0,0.1661765827902122,0.14359244770446294,,-0.08405934018148842,-0.07889656431065115,1.0,1.0,1.0,1.0,1.0,1.0,0.4226353160906027,0.4628351390746314,0.0,0.012499999999999999,0.024242424242424242,1.0,0.018334611909844225,0.037098784371299466,0.0,0.0,6.661338147750939e-16
7904,12.0,132.0,1188.1666666666667,656.5555555555555,0.0,0.15969776930272694,0.11919949885351198,,-0.08291232691401204,-0.044064136132497135,1.0,1.0,1.0,1.0,1.0,1.0,0.5530442542314117,0.4903543925789158,0.0,0.024621212121212124,0.02045454545454545,1.0,0.020193181391968597,0.03608619339822927,0.0,0.0,4.440892098500626e-16
773,12.0,132.0,1431.6666666666667,676.3125000000001,0.0,0.11816449410820866,0.08796705201446418,,-0.06029012952652607,-0.04853949432668371,1.0,1.0,1.0,1.0,1.0,1.0,0.5204055837087775,0.6110244436442898,0.0,0.0015151515151515152,0.003787878787878788,1.0,0.015497513354715919,0.03298741850021313,0.0,0.0,-2.220446049250313e-16
2484,12.0,132.0,1270.5,681.7638888888888,0.0,0.14922066389119165,0.14497260079660296,,-0.08403914856684498,-0.0664401498621857,1.0,1.0,1.0,1.0,1.0,1.0,0.5587803794075601,0.47672105468452197,0.0,0.01893939393939394,0.03712121212121212,1.0,0.018387829417411006,0.03657678811140547,0.0,0.0,4.440892098500626e-16
1995,12.0,132.0,1326.0,673.2847222222223,0.0,0.14160853129298542,0.09285823868715302,,-0.08198552821870372,-0.06851905938204965,1.0,1.0,1.0,1.0,1.0,1.0,0.5570573764433121,0.593864641974187,0.0,0.003409090909090909,0.0030303030303030303,1.0,0.01681075029256687,0.03302946804685437,0.0,0.0,-3.3306690738754696e-16
3045,12.0,132.0,1331.3333333333333,664.4375000000001,0.0,0.10761854135040427,0.0912391246433735,,-0.07893569513023296,-0.04718361389346024,1.0,1.0,1.0,1.0,1.0,1.0,0.6013658743230628,0.5650968194351608,0.0,0.0030303030303030303,0.003787878787878788,1.0,0.01667520955689165,0.03345217955110034,0.0,0.0,8.881784197001252e-16
3738,12.0,132.0,1471.6666666666667,732.8263888888888,0.0,0.10391946196252354,0.08161763929781013,,-0.06393416206538269,-0.04877613763431264,1.0,1.0,1.0,1.0,1.0,1.0,0.6460539441149185,0.5902792216493606,0.0,0.0015151515151515152,0.0015151515151515152,1.0,0.015059115440912546,0.030522192303507473,0.0,0.0,0.0
7425,12.0,132.0,1221.0,635.4722222222223,0.0,0.07131266707947395,0.053617059876758515,,-0.057267406042417125,-0.04192745475841054,1.0,1.0,1.0,1.0,1.0,1.0,0.6463387292793442,0.6400711490463539,0.0,0.0,0.0007575757575757576,1.0,0.018104843348217763,0.034753797239115126,0.0,0.0,0.0
1745,12.0,132.0,1365.5,717.0277777777778,0.0,0.10218793799593744,0.07682207271994186,,-0.07791301989673535,-0.03553280940806067,1.0,1.0,1.0,1.0,1.0,1.0,0.504596597395349,0.4979803421218722,0.0,0.0011363636363636363,0.006060606060606061,1.0,0.01627809440975581,0.03135200125524434,0.0,0.0,-4.440892098500626e-16
4046,12.0,132.0,1300.6666666666667,673.2013888888889,0.0,0.10048565197215081,0.08187133587630281,,-0.0738328032993451,-0.05955795641295425,1.0,1.0,1.0,1.0,1.0,1.0,0.6601032326081077,0.5977441294935301,0.0,0.004166666666666667,0.0053030303030303025,1.0,0.01713006270016794,0.03303902502737734,0.0,0.0,-2.220446049250313e-16
7882,12.0,132.0,1441.5,705.5277777777778,0.0,0.09499620487249426,0.05654842618782599,,-0.07607801608007501,-0.021224913330365084,1.0,1.0,1.0,1.0,1.0,1.0,0.583852430929157,0.550862348668239,0.0,0.0,0.0007575757575757576,1.0,0.015336398463781452,0.031299857149232856,0.0,0.0,-2.220446049250313e-16
9919,12.0,132.0,1376.8333333333333,723.3402777777778,0.0,0.09598665702480429,0.07528139270452144,,-0.07707287036687961,-0.052340260880202286,1.0,1.0,1.0,1.0,1.0,1.0,0.5865969239035623,0.5820815203663227,0.0,0.0011363636363636363,0.0030303030303030303,1.0,0.016132775651622164,0.030729099774598437,0.0,0.0,-4.440892098500626e-16
7623,12.0,132.0,1168.0,629.7222222222223,0.0,0.1718446548412562,0.111845319827522,,-0.08627365706376573,-0.05775345496938228,1.0,1.0,1.0,1.0,1.0,1.0,0.496998807989971,0.5343804643205967,0.0,0.019318181818181818,0.014393939393939395,1.0,0.020060081322543544,0.03647250452289364,0.0,0.0,0.0
4072,12.0,132.0,1407.8333333333333,702.5277777777778,0.0,0.11303321892958461,0.07737104848058311,,-0.08734880713672409,-0.04284904620137316,1.0,1.0,1.0,1.0,1.0,1.0,0.5989695377527253,0.6053518170901616,0.0,0.004166666666666667,0.007575757575757576,1.0,0.015808423450342075,0.03172131197394622,0.0,0.0,-4.440892098500626e-16
4270,12.0,132.0,1260.3333333333333,642.2430555555555,0.0,0.1005785219053115,0.09950676352039714,,-0.07769367622827296,-0.06656354435736239,1.0,1.0,1.0,1.0,1.0,1.0,0.6001324397504333,0.5528866590844491,0.0,0.0015151515151515152,0.0022727272727272726,1.0,0.01762602002666055,0.034841331911530125,0.0,0.0,-4.440892098500626e-16
7779,12.0,132.0,1187.1666666666667,623.5,0.0,0.10986820282771737,0.12209812570732072,,-0.08002077474791529,-0.08385060551633525,1.0,1.0,1.0,1.0,1.0,1.0,0.5760839897159946,0.5162288877580866,0.0,0.007575757575757576,0.023484848484848483,1.0,0.019073671137839514,0.03748051461312547,0.0,0.0,4.440892098500626e-16
3896,12.0,132.0,1429.3333333333333,703.5833333333334,0.0,0.12697226422915778,0.08877111172695488,,-0.07452383206663445,-0.048710595659295586,1.0,1.0,1.0,1.0,1.0,1.0,0.5270785864022008,0.5389619858025817,0.0,0.006439393939393939,0.0053030303030303025,1.0,0.015662128459985214,0.03177181233132001,0.0,0.0,0.0
1077,12.0,132.0,1295.5,642.3055555555557,0.0,0.13436300753840816,0.10341847332909418,,-0.08319765461661283,-0.06790684814170105,1.0,1.0,1.0,1.0,1.0,1.0,0.5662775101320293,0.4906730934804482,0.0,0.003787878787878788,0.006818181818181818,1.0,0.017330906834052164,0.03486239309196135,0.0,0.0,0.0
8772,12.0,132.0,1341.3333333333333,649.1666666666666,0.0,0.10512339665498707,0.08967018993135104,,-0.07805044004586362,-0.06813596864349011,1.0,1.0,1.0,1.0,1.0,1.0,0.6597807834592703,0.5860143663434875,0.0,0.0007575757575757576,0.003787878787878788,1.0,0.016546402994827167,0.034276316108132164,0.0,0.0,4.440892098500626e-16
9061,12.0,132.0,1283.0,686.9027777777777,0.0,0.12116960712585363,0.08181664251781375,,-0.0880416866248159,-0.028340712666463607,1.0,1.0,1.0,1.0,1.0,1.0,0.6121665990734989,0.6222740440679576,0.0,0.0003787878787878788,0.009090909090909092,1.0,0.017384492912020613,0.032580120993809185,0.0,0.0,0.0
6559,12.0,132.0,1364.6666666666667,676.2500000000001,0.0,0.12388829482666384,0.09545599424958537,,-0.08170770050787125,-0.03487740826871297,1.0,1.0,1.0,1.0,1.0,1.0,0.6028962343546879,0.6361405810335597,0.0,0.004924242424242424,0.0053030303030303025,1.0,0.016489920113871216,0.03314680463065954,0.0,0.0,-1.1102230246251565e-16
6206,12.0,132.0,1411.3333333333333,662.6527777777778,0.0,0.13411394552068642,0.08901596189237929,,-0.08447914031412582,-0.05544514004394651,1.0,1.0,1.0,1.0,1.0,1.0,0.6173248734203156,0.623413016969239,0.0,0.004166666666666667,0.006818181818181818,1.0,0.0157716279515325,0.03382009582153723,0.0,0.0,-2.220446049250313e-16
